,0
0,22022D1595
1,31991D0088
2,32014O0031R(01)
3,32008R0365
4,32003R0257
5,31996Y1107(01)
6,32023D0421
7,32013R1308R(17)
8,32021D2316
9,32020L0432
10,31998R1890
11,32003B0413
12,32021D2199
13,32013L0036R(06)
14,32008R1045
15,22020D0223
16,32003D0757R(01)
17,32014L0049R(01)
18,02015R0848-20220109
19,32014R0540
20,32015R0151
21,31998R2411
22,32019R1686
23,32008L0009
24,32009H0120
25,31976A0470
26,02011R0282-20220701
27,32009R0004R(03)
28,32021R0880
29,02006L0042-20190726
30,31990D0212
31,32008R0420
32,01999D0187-20021018
33,32016R2345
34,32022R0132
35,32022R0808
36,02008R0767-20230803
37,02022R0126-20230101
38,22007A1221(03)
39,32001R1105
40,32020R2104
41,32023D1318
42,32021D1845
43,32023R0435
44,32019R0247
45,31977R2687
46,22022D1030
47,32014L0049R(02)
48,31994R3330
49,32019R2074
50,32008L0117
51,32020D1368
52,32014D0309
53,32008R0402
54,32019R0694
55,32014R0826
56,32022R2112
57,32021D1984
58,01990D0185-20121221
59,32010D0115
60,32011R0555
61,32012R0577
62,32007R1355
63,32005R0117
64,31999L0019
65,32021D2267
66,32008R0180
67,32009D0400
68,32014R0799
69,32006R1281
70,32014L0065R(07)
71,32022R1384
72,32022D0849
73,32020D0440
74,31994R1785
75,22006D0112
76,32005B0547
77,32006R1896R(05)
78,31970Y0428(03)
79,32004R1367
80,32016H0211
81,32018R0625
82,32018D0942
83,32009D0710
84,32022D0609
85,32007D0667
86,32006R1256
87,32009L0113
88,21994D0223(10)
89,01992L0013-20140417
90,32019R1314
91,32021O0833
92,32014R0141
93,32022R2473
94,32020R0206
95,32022D1974
96,31977D0455
97,31973L0210
98,32022R0634
99,32020R1781
100,32023R1472
101,32022D0346
102,32002R0113
103,02006R1922-20070119
104,32022O0989
105,32015R0403
106,32019R1010R(01)
107,22012D0052
108,02022D0493-20230321
109,32016R2105
110,32015D0410(01)
111,32022R0641
112,31991R2211
113,31985R0645
114,31995R2526
115,31982L0434
116,22006D0046
117,32012D0339
118,02001R1035-20061006
119,32020D0701
120,32021R0948
121,32016D1071
122,32017A1011(01)
123,32015D0674
124,32010D0216
125,31976S0755
126,32004R0104
127,02011R0359-20230522
128,32010D0659
129,32010R0897
130,32011D0201
131,32004R1935
132,32010D0411
133,32023D0714
134,32018D1464
135,31995R2988R(01)
136,32021R1950
137,02009R1069-20191214
138,21973D1231(05)
139,41995X1110(01)
140,32021R0451
141,32016R0958
142,32022R2406
143,32013R0727
144,02004A1229(01)-20170101
145,32022D0882
146,32012D0008
147,32019D1087
148,32020R1293
149,32019D0245
150,32020R0873
151,31997D0135
152,32009R0470
153,32019O0019
154,22022D0371
155,32006R0561R(04)
156,32015R1051
157,31988R4282
158,32004D0420
159,01999R0856-20031120
160,32015R0478
161,32009R0671
162,22015D1806
163,32011D0831
164,31981A1068
165,22001D0350
166,31997R1467R(02)
167,32022D2269
168,41958A0201(01)
169,31976R0102
170,02008R0451-20190726
171,32013R1380
172,02006L0021-20090807
173,31997R2591
174,02006L0007-20140101
175,32019R0712
176,32016R1006
177,32013R1166
178,02002S1469-20041205
179,31998D0387
180,31996D0418(01)
181,32006R1629
182,32022R0109R(01)
183,22005D0075
184,32004R1148
185,31992R1776
186,32020R1173
187,02008R0340-20210621
188,31994D0023
189,32009D0767
190,31999L0092R(01)
191,32021R1375
192,32020R1163
193,31999O0003R(01)
194,32007R0158
195,22012D0221
196,32008R1005R(02)
197,32021L1883
198,22007A0206(01)
199,02009D0965-20160101
200,32013R0197
201,32009L0042
202,02014R1321-20230703
203,32023R0647
204,32020D1382
205,32015D0767
206,32014R0272
207,02019L0790-20190517
208,32007R1274
209,32008R0213
210,31998L0079R(02)
211,32020D1335
212,32004R2080
213,32003D0421
214,31971R1408R(05)
215,22005D0022
216,31994D0228
217,32021R1059
218,32010D0412R(01)
219,32021R1849
220,32014L0033R(02)
221,32022O0067
222,32011D0779
223,31987D0182
224,31989R2594
225,32009R1170
226,02013R1352-20210101
227,32005D0752
228,32021R1099
229,32014R0497
230,31989D0204
231,02012R0923-20230126
232,02013R0617-20200301
233,22014D0148
234,32015R1998R(04)
235,32021R1755
236,32014R1323
237,31985D0533R(01)
238,31986R4057R(03)
239,32019D2151
240,32022D1206
241,32007R0836
242,32020D1223(02)
243,32015R0623
244,22012D0195
245,32014R0248
246,32020R1816
247,02004A1224(01)-20160101
248,32021R0782
249,31986Y0827(01)
250,32005R1056
251,32021R2089
252,32021D1827
253,02014L0024-20220101
254,32007D0441
255,32011L0037
256,32014R1147
257,32021R0572
258,21989D0727(01)
